Symbol	MCL_5	MCL_4	MCL_3	MCL_2	MCL_1	MCL_20	MCL_19	MCL_18	MCL_17	MCL_11	MCL_15	MCL_10	MCL_8	MCL_6	MCL_12	MCL_16	MCL_14	MCL_13	MCL_9	MCL_7
ABCC1	11.7652267735011	11.9111380862426	11.4137421830241	10.6526513589288	11.387538547765	10.9147373721099	10.7865184651693	11.4046981421395	11.2565051798096	11.0022521539853	11.2938382311308	11.0428362978707	11.551315929618	11.0740046670871	11.2145106674142	11.5595532038384	11.0403977764599	11.3363333468553	11.4326855402344	11.1459217831672
ABCC4	7.71178751453966	7.17112386056064	4.46647053056379	6.78773303379557	7.76808767065858	7.85041424264008	6.92533147974263	7.58015579925449	6.7561280111734	7.84386877442568	7.4637632325731	8.13360176179388	6.97966778217776	9.62850188708116	8.09206437613873	6.26770644818886	8.54159191948842	7.57830613716123	8.68996067677952	8.02763268533983
ABCG2	2.98386705997646	2.73371854825334	3.27382545262139	2.5705023175749	1.8138913602717	3.82656750068571	3.29306326424312	4.64638949765457	3.91962674345628	4.51618141024963	2.45733696341366	2.26147658434604	4.23891060884918	4.00791547662928	3.55808580413638	3.09778144674654	3.01802996343141	2.90588079518974	5.46114198628363	0.334145727840507
ABI1	11.1165809823217	10.727128738893	10.895354082574	10.4433310771098	11.4181356941476	10.7374600268517	11.2089426430789	10.5233786075492	10.6377926304937	10.8546058250332	11.1201324766304	11.771251588673	10.6748549640282	10.165767645771	10.6752959887808	10.8149682397248	10.4400947296042	10.8006985584977	10.3003457743806	10.0578066722505
ABL1	9.18680711864674	8.81764103179843	9.45373454263633	8.59287013060336	9.98715207427727	9.32694466932193	9.35267812054034	9.62542987901893	9.60812684828584	8.62721272263837	9.70526447685725	9.34590536550674	8.95387910074285	9.11225213644402	8.39518806958804	8.5095950451511	9.21524665654146	8.08246952691306	9.546481655641	9.4439763821193
ACKR2	4.56882956069762	4.84919576567328	3.71439804400737	4.70800584132484	2.55085695443791	4.50463940579835	3.77849009141336	4.06142699693342	3.69723432211983	4.572764938616	3.23494454207721	3.70204917573202	4.31291119029295	6.68598738174192	3.55808580413638	4.99086624283003	4.26595747687499	3.90588079518974	4.94656881345388	2.50407072928282
ACKR3	5.30579515486382	7.64060914386186	6.9978519910801	3.94901394082863	6.08690985467812	6.34594165977929	7.43056678799305	7.50564552162421	6.24155483834364	6.04225022191722	6.09292553720479	8.54951868508099	5.99098309540559	7.00791547662928	7.7479103630164	6.33482064404739	6.01802996343141	4.9647744842433	8.33397074581852	7.11550544136517
ACOT12	3.39890455925531	3.14875604753219	2.05143303128495	2.8335367234087	1.8138913602717	3.50463940579835	2.29306326424312	2.68291537367969	3.11227182139867	3.45728772119606	2.45733696341366	2.45412166228843	2.99098309540559	2.68598738174192	0.973123303415226	2.29042652468894	2.60299246415256	2.90588079518974	3.13921389139627	2.14150064989811
ACSL3	7.71178751453966	7.80696753028398	7.65629508944381	8.02336128228871	8.09311500420483	7.96952545452776	7.6506152688612	7.96831759254193	8.17836101185644	7.80896315947748	8.18525741797686	8.33370491190121	7.70522861307171	7.41390783630512	8.22578873586547	7.56655092996318	7.60299246415256	8.0144052519679	8.37283356815597	8.21678877720235
ACTG2	4.39890455925531	4.79261223730691	2.92590214920109	4.05592914474514	4.31639170080089	3.9196769050772	3.77849009141336	3.44845012004266	3.43419991628603	3.8723252204749	3.55687263696458	3.84643908506719	4.69142281354668	5.27094988246308	3.67356302155632	5.6123546195763	3.7184696815725	4.02135801260967	4.72417639211743	3.65607382272787
ADH1A	2.39890455925531	1.73371854825334	1.78839862545115	2.24857422268754	2.22892885955055	3.24160499996456	2.77849009141336	3.06142699693342	1.52730932067752	2.45728772119606	2.45733696341366	2.91355328092573	2.31291119029295	5.27094988246308	0.973123303415226	3.74985814332624	2.82538488548901	3.32091829446858	3.13921389139627	1.91910822856166
ADM	8.32964189681819	8.01912076711559	9.52446225332297	11.1584673064576	6.37867597905523	6.00713974632754	10.1017057321612	10.1747684700094	5.8848613252956	9.48887406425389	8.14183513768573	4.70204917573202	6.89787369101411	7.11225213644402	6.97312330341523	6.55721306538384	9.04869709967835	7.87550714614622	8.2106762539529	4.61954794670276
ADORA2A	7.79978399553749	8.33363139044047	6.56450261352432	8.59730237691862	8.55535834667285	7.08960190651951	8.521881954739	7.08890773335552	8.39767404026092	8.3317568391122	7.71607123181383	8.10517335346736	7.26710750067983	8.50616634415711	8.69079972648162	6.8753890254101	6.96054446877065	8.76800152067823	8.80809887566252	6.8098791588069
ADORA2B	4.30579515486382	3.73371854825334	3.05143303128495	3.24857422268754	2.55085695443791	3.08960190651951	3.55609767007691	3.60891479223591	3.11227182139867	5.00160823741987	3.55687263696458	2.91355328092573	4.79833801746319	5.68598738174192	3.97312330341523	3.6123546195763	4.33995805831877	8.80875832829163	3.83965360953736	4.33414572784051
AGO2	7.46499374971308	8.01912076711559	7.48883834359224	6.93507474987076	7.03628378160815	7.76516695602157	7.26575591824738	7.4270764692501	7.10473814871326	7.73651136512918	8.13782207517911	7.17522085099562	7.53787755529323	8.20954933779893	7.58783314753043	8.03189351109009	8.23234908423217	6.89077390279953	6.79742537414807	7.85770768389752
AGO4	9.60835792488425	10.1571846696028	9.98019812651623	8.76821047553075	9.27605277166457	9.59210224704869	9.89594767296153	10.0683464108732	9.91640284258199	11.1611912946407	10.3650860505922	9.59750487627825	10.1138110902133	9.96675815187252	10.6115592174057	10.5454550945077	9.78786780706085	9.04883874903178	9.03403165470421	9.01186536948152
AIMP2	7.18026427277997	7.17112386056064	7.64139621306447	7.77995568320385	7.5418118148349	6.44323886113421	7.05859801060609	7.25580504210027	7.39767404026092	6.31526871632363	7.52649898792106	7.64394622116845	6.31291119029295	7.81527039868689	7.41606679926395	5.96285186666043	7.16777708293609	6.25165563203147	8.5696664430618	7.29993001250259
AKT1	11.1165809823217	11.0222001600476	10.9052623831421	10.9333228431092	11.4474920957408	11.3816678556628	11.3730812933323	11.4111760463888	10.5371379380456	11.3121561044563	11.3689429533403	11.0734246177041	11.3202188371394	12.0566747885491	11.2061437298897	11.3963350332601	11.5968743549896	11.114521603748	11.394242461215	11.5918282085493
AKT1S1	6.28154760861715	6.52379547887911	6.28664949297898	6.87793084276715	6.18312516993742	6.76516695602157	6.8659529326637	6.30350178413156	6.82193006956914	6.47223806266203	6.50796303648363	6.61399299906682	6.6203397154852	6.93391489518551	6.90386064097811	6.82958533579697	6.77291746559488	6.97912977722037	7.45209684668063	6.37853984719896
AKT2	11.1859908838069	10.9488470351572	11.0263255720774	10.9908836587715	11.0946621304023	11.4180275130068	11.8723792018231	10.9921643344963	11.4368274349741	11.1303022790389	11.3486867081264	10.9242720975628	10.8903400183287	10.840805490794	11.886386734044	11.2612514260516	11.4978102274605	11.342592337327	11.3153870405038	10.8523070835975
AKT3	11.3035391809235	11.9427656925532	11.0528412256778	11.8549794353853	5.8138913602717	11.9493092331213	10.1170673151763	11.2068693131764	11.7686966846765	11.7264144003455	11.3399800127755	7.26147658434603	12.2080320089619	12.7385554325461	12.0506066602747	12.551639976055	11.9974551587629	11.8316824623865	11.7142803559749	8.91534630976546
ALDH1A3	3.72083265414267	2.73371854825334	2.46647053056379	2.8335367234087	1.8138913602717	3.9196769050772	3.43056678799305	3.06142699693342	4.05087127673453	2.19425331536227	2.97191013624342	3.03908416300959	2.7983380174632	6.49334230379952	3.29505139830259	3.46035152613125	3.82538488548901	3.12827321652618	4.83965360953736	2.50407072928282
ALDOA	12.6062239857131	11.8855807466311	11.6494855314465	12.7819039549934	12.303404860285	11.6166444313115	12.3637209256312	12.0728693071444	12.4353265817403	12.753630405889	12.1735439974131	12.5990984863385	12.3100906712306	12.3343449637516	12.180442729873	11.806126362973	12.5545200366306	12.3265428436625	11.9364701089061	12.169998764285
ALK	3.20625948131291	2.14875604753219	-0.53352946943621	0.248574222687539	2.22892885955055	3.82656750068571	-0.0288648306442472	1.36098727879232	1.11227182139867	0.872325220474904	1.97191013624342	-0.545878337711569	1.57594559612675	5.59287797735044	2.29505139830259	2.8753890254101	2.33995805831877	0.32091829446858	3.30913889283858	-0.665854272159493
AMOTL2	3.20625948131291	1.73371854825334	1.46647053056379	1.8335367234087	1.22892885955055	-0.0803230949228038	1.97113516935575	1.94594977951348	1.84923741556488	1.8723252204749	1.23494454207721	1.03908416300959	0.990983095405591	1.68598738174192	2.29505139830259	1.8753890254101	3.18795496487372	0.32091829446858	2.72417639211743	0.334145727840507
ANGPT2	5.72083265414267	2.73371854825334	2.05143303128495	2.5705023175749	4.98381636171402	5.64759735964039	2.77849009141336	4.3151835891792	3.22774903881861	4.73030621560248	5.07624679605816	1.45412166228843	2.7983380174632	5.93391489518551	0.973123303415226	3.74985814332624	3.01802996343141	1.90588079518974	6.79742537414807	2.65607382272787
APC	10.004384077317	10.2676971202557	10.9259021492011	10.4725758968856	9.74068151331793	10.7026751139976	9.85987841825401	10.1091801283818	9.65272279116083	10.6772628925268	9.89909549406979	9.47648947531689	10.3811520516058	10.2896137267281	10.1789165528124	10.2705661023281	10.1226287169958	9.78239774175474	9.59659477046881	9.03111325407479
AR	2.72083265414267	2.73371854825334	1.05143303128495	1.24857422268754	1.8138913602717	3.08960190651951	1.55609767007691	1.36098727879232	2.52730932067752	2.19425331536227	1.64998204135606	2.26147658434604	1.99098309540559	5.49334230379952	1.97312330341523	1.29042652468894	1.60299246415256	2.64284638935594	4.22667673264661	0.334145727840507
ARG1	5.48636740050564	5.43415826639444	5.39720786812668	3.05592914474514	5.62124628232931	6.62011662321829	3.29306326424312	5.24363032815417	1.52730932067752	12.7667640750372	5.81990704279837	2.26147658434604	7.89787369101411	7.00791547662928	4.8311042985428	4.93428271446366	9.70102454711309	4.71323571724734	4.04610448700479	7.01362582734595
